,,Foil 1,in the clouds,foil 1,78773065,,,,,,,,,
,,Foil 2,above the clouds,foil 2,42196282,,,,,,,,,
,,Foil 3,x,x,x,,,,,,,,,
,,Other,plane,other,119845582,,,,,,,,,
,,Other,cloud,other,34993927,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
11,under,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the dolphin is under the water,target,203027560,F2_Preposition_sentence_30,,M3_Preposition_sentence_30,,,5,2,2,
,,Foil 1,by the water,foil 1,201146726,,,,,,,,,
,,Foil 2,over the water,foil 2,252402220,,,,,,,,,
,,Foil 3,x,x,x,,,,,,,,,
,,Other,ocean,other,341825012,,,,,,,,,
,,Other,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
12,under,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the cat is under the books,target,219746533,F2_Preposition_sentence_31,,M3_Preposition_sentence_31,,,5,2,2,
,,Foil 1,by the books,foil 1,294937787,,,,,,,,,
,,Foil 2,on the books,foil 2,295547183,,,,,,,,,
,,Foil 3,between the books,foil 3,315380783,,,,,,,,,
,,Other,behind the books,other,183086432,,,,,,,,,
,,Other,cat,other,16409109,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
13,under,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the cat is under the bag,target,138372416,,M1_Preposition_sentence_65,,,,5,2,2,
,,Foil 1,the cat is on the bag,foil 1,203096440,,,,,,,,,
,,Foil 2,the cat is between the bags,foil 2,269070035,,,,,,,,,
,,Foil 3,the cat is beside the bag,foil 3,12114247,,,,,,,,,
,,Other,the cat is above the bag,other,154116686,,,,,,,,,
,,Other,the cat is in the bag,other,12114250,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
14,under,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the cat is under the dog,target,132126536,,M1_Preposition_sentence_66,,,,5,2,2,
,,Foil 1,the cat is on the dog,foil 1,200514218,,,,,,,,,
,,Foil 2,the cat is beside the dog,foil 2,78196291,,,,,,,,,
,,Foil 3,the cat is between the dogs,foil 3,34195045,,,,,,,,,
,,Other,dogs,other,195612003,,,,,,,,,
,,Other,cats,other,781967421,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
15,under,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the girl is under the dog,target,322437035,,M1_Preposition_sentence_67,,,,5,2,2,
,,Foil 1,the girl is on the dog,foil 1,125585768,,,,,,,,,
,,Foil 2,the girl is by the dog,foil 2,152951474,,,,,,,,,
,,Foil 3,the girl is behind the dog,foil 3,284147363,,,,,,,,,
,,Other,the girl is by the dog,other,242797159,,,,,,,,,
,,Other,the girl is by the dog,other,88335778,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,between,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the cat is between the chairs,target,69405214,F2_Preposition_sentence_32,,M3_Preposition_sentence_32,,,5,1,2,
,,Foil 1,on the chair,foil 1,2328749,,,,,,,,,
,,Foil 2,under the chair,foil 2,46209588,,,,,,,,,
,,Foil 3,by the chair,foil 3,89102154,,,,,,,,,
,,Other,cat,other,16409109,,,,,,,,,
,,Other,chair,other,69784520,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,between,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the bird is between the trees,target,659865421,F2_Preposition_sentence_33,,M3_Preposition_sentence_33,,,5,1,2,
,,Foil 1,in the tree,foil 1,92161054,,,,,,,,,
,,Foil 2,on the tree,foil 2,36970893,,,,,,,,,
,,Foil 3,under the tree,foil 3,29762175,,,,,,,,,
,,Other,bird,other,33965083,,,,,,,,,
,,Other,tree,other,69106532,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,between,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the mouse is between the crop,target,286191647,F2_Preposition_sentence_34,,M3_Preposition_sentence_34,,,5,1,2,
,,Foil 1,in the crop,foil 1,88928725,,,,,,,,,
,,Foil 2,under the crop,foil 2,34487284,,,,,,,,,
,,Foil 3,on the crop,foil 3,294080735,,,,,,,,,
,,Other,mouse,other,38857743,,,,,,,,,
,,Other,crop,other,86288593,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4,between,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the cat is between the books,target,315380783,F2_Preposition_sentence_35,,M3_Preposition_sentence_35,,,5,1,2,
,,Foil 1,on the books,foil 1,295547183,,,,,,,,,
,,Foil 2,by the books,foil 2,294937787,,,,,,,,,
,,Foil 3,behind the books,foil 3,183086432,,,,,,,,,
,,Other,under the books,other,219746533,,,,,,,,,
,,Other,cat,other,16409109,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5,between,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the cat is between the bags,target,269070035,,M1_Preposition_sentence_68,,,,5,1,2,
,,Foil 1,the cat is beside the bag,foil 1,12114247,,,,,,,,,
,,Foil 2,the cat is above the bag,foil 2,154116686,,,,,,,,,
