37,snow,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,snow,target,372064699,F2_Noun_single_1syll_245,,M2_Noun_single_1syll_245,,,7,7,1,,,,,
,,P1,bow,mp,218792995,,,,,,,,,,,,,
,,P2,toe,mp,706954256,,,,,,,,,,,,,
,,P3,plough,close,334650443,,,,,,,,,,,,,
,,S1,rain,assoc,43859197,,,,,,,,,,,,,
,,S2,cold,assoc,28666396,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
38,egg,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,egg,target,120690565,F2_Noun_single_1syll_246,,M2_Noun_single_1syll_246,,,7,7,1,,,,,
,,P1,leg,mp,8677638,,,,,,,,,,,,,
,,P2,keg,mp,151451303,,,,,,,,,,,,,
,,P3,peg,mp,217046,,,,,,,,,,,,,
,,S1,hen,assoc,159430508,,,,,,,,,,,,,
,,S2,bacon,assoc,249194314,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
39,meat,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,meat,target,296284007,F2_Noun_single_1syll_247,,M2_Noun_single_1syll_247,,,7,7,1,,,,,
,,P1,seat,mp,111217772,,,,,,,,,,,,,
,,P2,meal,mp,242752654,,,,,,,,,,,,,
,,P3,mat,mp,35213598,,,,,,,,,,,,,
,,S1,vegetables,assoc,35749240,,,,,,,,,,,,,
,,S2,knife,assoc,414583714,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
40,cake,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,cake,target,1684878,F2_Noun_single_1syll_248,,M2_Noun_single_1syll_248,,,7,7,1,,,,,
,,P1,rake,mp,161480588,,,,,,,,,,,,,
,,P2,flake,close,329189048,,,,,,,,,,,,,
,,P3,snake,close,81449107,,,,,,,,,,,,,
,,S1,chocolate,assoc,238754788,,,,,,,,,,,,,
,,S2,oven,assoc,129827282,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
41,plant,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,plant,target,51599364,F2_Noun_single_1syll_249,,M2_Noun_single_1syll_249,,,7,7,1,,,,,
,,P1,pants,close,39108647,,,,,,,,,,,,,
,,P2,plan,mp,27330630,,,,,,,,,,,,,
,,P3,plait,mp,288040880,,,,,,,,,,,,,
,,S1,pot,assoc,102442264,,,,,,,,,,,,,
,,S2,watering can,assoc,95225710,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
42,farm,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,farm,target,653425,F2_Noun_single_1syll_250,,M2_Noun_single_1syll_250,,,7,7,1,,,,,
,,P1,arm,mp,173319965,,,,,,,,,,,,,
,,P2,form,mp,1034819,,,,,,,,,,,,,
,,P3,foam,close,74189155,,,,,,,,,,,,,
,,S1,cow,assoc,129933092,,,,,,,,,,,,,
,,S2,stables,assoc,168274,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
